setup,stability_score,stability_percent,selected_deployments
baseline_best_beegfs,0.667,67%,60/beegfs x2; 120/beegfs x1
code_dpm,0.667,67%,120/tmpfs x2; 60/tmpfs x1
dpm_only,0.333,33%,120/scratch x1; 120/tmpfs x1; 60/tmpfs x1
