trial,nodes,mode,storage,job_dir,rc,elapsed_s,stage_s,exec_s,deployment_runtime_s,validation_s,outputs,area_outputs,failures,mismatches,passed,timing_log
2,30,dpm_only,tmpfs,dpm_only_863081,0,20,5,3,8,11,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_dpmablation_3trial_20260619T211704Z/trial_2/30node/dpm_only_863081/timing.log
2,60,baseline,beegfs,baseline_863082,0,49,0,43,43,8,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_dpmablation_3trial_20260619T211704Z/trial_2/60node/baseline_863082/timing.log
2,60,code_dpm,beegfs,code_dpm_863083,0,20,0,9,9,10,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_dpmablation_3trial_20260619T211704Z/trial_2/60node/code_dpm_863083/timing.log
2,60,code_dpm,scratch,code_dpm_863084,0,21,2,2,4,14,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_dpmablation_3trial_20260619T211704Z/trial_2/60node/code_dpm_863084/timing.log
2,60,code_dpm,tmpfs,code_dpm_863085,0,13,2,1,3,6,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_dpmablation_3trial_20260619T211704Z/trial_2/60node/code_dpm_863085/timing.log
2,60,dpm_only,beegfs,dpm_only_863086,0,86,0,34,34,53,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_dpmablation_3trial_20260619T211704Z/trial_2/60node/dpm_only_863086/timing.log
2,60,dpm_only,scratch,dpm_only_863087,0,70,34,2,36,38,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_dpmablation_3trial_20260619T211704Z/trial_2/60node/dpm_only_863087/timing.log
2,60,dpm_only,tmpfs,dpm_only_863088,0,60,19,2,21,38,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_dpmablation_3trial_20260619T211704Z/trial_2/60node/dpm_only_863088/timing.log
3,120,baseline,beegfs,baseline_863111,0,68,0,44,44,17,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_dpmablation_3trial_20260619T211704Z/trial_3/120node/baseline_863111/timing.log
3,120,code_dpm,beegfs,code_dpm_863112,0,68,0,49,49,37,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_dpmablation_3trial_20260619T211704Z/trial_3/120node/code_dpm_863112/timing.log
